

####### THIS IS ONLY AN EXCERPT OF THE DATABASE

index	word	frequency	wordType	stressPosition	syllableNumber
917	Abwicklung	40	N	1	3
918	abwiegen	2	V	1	3
919	abwiegeln	0	V	1	3
920	abwimmeln	2	V	1	3
921	Abwind	0	N	1	2
922	abwinken	5	V	1	3
923	abwirtschaften	4	V	1	4
924	abwischen	7	V	1	3
925	abwohnen	2	V	1	3
926	abwracken	0	V	1	3
927	Abwurf	17	N	1	2
928	abwuergen	10	V	1	3
929	abyssisch	0	A	2	3
931	abzahlen	5	V	1	3
932	abzaehlen	9	V	1	3
933	Abzaehlreim	0	N	1	3
934	Abzahlung	4	N	1	3
935	abzapfen	2	V	1	3
936	abzappeln	0	V	1	3
937	abzaeumen	0	V	1	3
938	abzaeunen	0	V	1	3
939	Abzaeunung	0	N	1	3
940	abzehren	1	V	1	3
941	Abzehrung	0	N	1	3
942	Abzeichen	19	N	1	3
943	abzeichnen	36	V	1	3
944	abziehen	69	V	1	3
945	Abziehbild	1	N	1	3
946	Abzieher	0	N	1	3
947	abzielen	21	V	1	3
948	abzirkeln	0	V	1	3
949	Abzirkelung	0	N	1	4
950	abzischen	0	V	1	3
951	Abzug	203	N	1	2
953	abzugsfaehig	11	A	1	4
954	abzugsfrei	0	A	1	3
955	abzupfen	0	V	1	3
956	abzwacken	0	V	1	3
957	abzwecken	0	V	1	3
958	abzweigen	13	V	1	3
959	Abzweig	1	N	1	2
960	Abzweigdose	0	N	1	4
961	Abzweigung	7	N	1	3
966	Achat	0	N	2	2
967	Ache	0	N	1	2
968	acheln	0	V	1	2
972	Achromasie	0	N	4	4
973	Achromat	0	N	3	3
974	Achromat	0	N	3	3
975	achromatisch	0	A	4	4
977	Achsdruck	0	N	1	2
978	Achse	58	N	1	2
979	Achsel	30	N	1	2
980	Achselgriff	0	N	1	3
981	Achselhoehle	6	N	1	4
982	Achselklappe	1	N	1	4
983	achselstaendig	0	A	1	4
984	Achselzucken	0	N	1	4
985	achselzuckend	0	A	1	4
986	Achsenbruch	2	N	1	3
987	Achsenzylinder	0	N	1	5
988	achsig	0	A	1	2
989	Achskilometer	0	N	1	5
990	Achslager	0	N	1	3
991	achsrecht	0	A	1	2
993	aechten	5	V	1	2
994	achten	172	V	1	2
997	achtarmig	0	A	1	3
998	achtbaendig	0	A	1	3
999	achtbar	6	A	1	2
1000	Achtbarkeit	0	N	1	3
1001	Achteck	3	N	1	2
1002	achteckig	0	A	1	3
1005	Achtel	14	N	1	2
1006	Achtelliter	0	N	1	4
1007	Achtelnote	0	N	1	4
1008	Achtender	0	N	1	3
1010	Achter	26	N	1	2
1011	achter	1	A	1	2
1013	Achterbahn	0	N	1	3
1014	Achterdeck	1	N	1	3
1015	achterlastig	0	A	1	4
1017	achterlich	0	A	1	3
1019	Achtersteven	2	N	1	4
1022	achtfaltig	0	A	1	3
1023	Achtflaechner	0	N	1	3
1024	Achtfuesser	0	N	1	3
1025	achtgeben	3	V	1	3
1026	achthaben	0	V	1	3
1029	achtjaehrig	17	A	1	3
1030	Achtkampf	1	N	1	2
1031	achtkantig	0	A	1	3
1032	achtlos	17	A	1	2
1033	Achtlosigkeit	2	N	1	4
1035	achtmalig	2	A	1	3
1037	Achtpfennigmarke	0	N	2	5
1038	achtsam	2	A	1	2
1039	Achtsamkeit	1	N	1	3
1040	achtspaennig	0	A	2	3
1041	achtstoeckig	0	A	1	3
1042	Achtstundentag	0	N	2	4
1044	achttausendste	0	A	2	4
1045	Achtung	122	N	1	2
1046	achtunggebietend	0	A	1	5
1047	Achtungsbezeigung	0	N	1	5
1048	Achtungserfolg	1	N	1	4
1049	achtungsvoll	8	A	1	3
1051	Achtzehnender	0	N	1	4
1052	achtzehnjaehrig	9	A	1	4
1055	Achtzig	2	N	1	2
1056	achtziger	17	A	1	3
1057	Achtziger	0	N	1	3
1058	Achtzigerin	0	N	1	4
1060	achtzigjaehrig	3	A	1	4
1064	Achtzigstel	0	N	1	3
1065	achtzollig	0	A	1	3
1066	achtzoellig	0	A	1	3
1067	Achtzylinder	2	N	1	4
1069	achtzylindrig	0	A	1	4
1070	aechzen	25	V	1	2
1071	ackern	0	V	1	2
1072	Acker	0	N	1	2
1073	Ackerbau	0	N	1	3
1074	Ackerbauer	0	N	1	4
1075	ackerbautreibend	0	A	1	5
1076	Ackerflaeche	0	N	1	4
1077	Ackermann	0	N	1	3
1078	Ackernahrung	0	N	1	4
1079	Ackersmann	0	N	1	3
1083	Adamit	0	N	3	3
1084	adamitisch	0	A	3	4
1087	Adaptation	0	N	5	5
1088	Adapter	0	N	2	3
1089	adaptieren	3	V	3	4
1090	adaptiv	0	A	2	3
1093	addieren	23	V	2	3
1094	Addiermaschine	2	N	2	5
1095	Addition	9	N	4	4
1096	additional	0	A	4	5
1097	additiv	4	A	3	3
1098	Additiv	11	N	3	3
1099	addizieren	0	V	3	4
1100	Adduktion	0	N	4	4
1101	Adduktor	0	N	2	3
1102	Ade	2	N	2	2
1103	adeln	6	V	1	2
1104	Adel	84	N	1	2
1105	adelig	4	A	1	3
1106	Adelsbrief	0	N	1	3
1107	Adelspraedikat	0	N	1	5
1108	adelsstolz	0	A	1	3
1109	Adelung	1	N	1	3
1113	aedern	1	V	1	2
1114	Ader	30	N	1	2
1115	Aederchen	4	N	1	3
1116	aederig	0	A	1	3
1117	aderig	1	A	1	3
1118	Aderlass	5	N	1	3
1119	Aederung	0	N	1	3
1122	Adhaesionsbahn	0	N	4	5
1126	adjektivisch	5	A	1	4
1128	adjudizieren	0	V	4	5
1131	Adjustierung	0	N	3	4
1133	Adjutantur	0	N	4	4
1135	Adler	42	N	1	2
1136	Adlerblick	0	N	1	3
1137	adlig	17	A	1	2
1138	Adlige	10	N	1	3
1140	administrativ	37	A	5	5
1141	Administrator	1	N	4	5
1142	administrieren	0	V	4	5
1145	Admiralitaet	1	N	5	5
1147	Adoleszenz	0	N	4	4
1148	Adonis	1	N	2	3
1149	adonisch	0	A	2	3
1150	adoptieren	10	V	3	4
1151	Adoption	6	N	4	4
1152	Adoptivkind	1	N	3	4
1153	adorabel	0	A	3	4
1154	Adoration	0	N	5	5
1155	adorieren	0	V	3	4
1156	adremieren	0	V	3	4
1158	Adressant	0	N	3	3
1159	Adressat	12	N	3	3
1160	Adressbuch	2	N	2	3
1161	Adresse	179	N	2	3
1162	adressieren	8	V	3	4
1167	aedrig	0	A	1	2
1168	adrig	0	A	1	2
1170	Adsorption	0	N	4	4
1172	Advantage	0	N	2	3
1174	Adventist	0	N	3	3
1175	Adventskranz	0	N	2	3
1176	Adventssonntag	3	N	2	4
1178	adverbial	10	A	4	4
1180	Adverbialsatz	12	N	4	5
1181	adverbiell	0	A	4	4
1185	Aerobier	0	N	3	5
1190	Aerogramm	0	N	4	4
1194	Aerometer	0	N	4	5
1195	Aeronautik	0	N	4	5
1197	Aerosol	2	N	4	4
1198	Aerostatik	0	N	4	5
1199	aerostatisch	1	A	4	5
1200	aeffen	3	V	1	2
1202	Aeffchen	3	N	1	2
1203	Affe	40	N	1	2
1205	Affektation	0	N	5	5
1206	Affekthandlung	0	N	2	4
1208	Affektiertheit	0	N	3	4
1209	Affektion	1	N	4	4
1210	affektiv	2	A	3	3
1211	Affektivitaet	0	N	5	5
1212	Affenart	0	N	1	3
1213	affenartig	1	A	1	4
1214	Affenbrotbaum	0	N	1	4
1215	Affenliebe	0	N	1	4
1216	Affenschande	0	N	1	4
1217	Affentheater	0	N	1	5
1218	Aeffer	0	N	1	2
1219	Aefferei	0	N	3	3
1220	Affiche	0	N	2	3
1221	affichieren	0	V	3	4
1223	affig	2	A	1	2
1224	Affigkeit	0	N	1	3
1226	Aeffin	0	N	1	2
1227	affinieren	0	V	3	4
1228	Affinitaet	5	N	4	4
1229	Affirmation	0	N	5	5
1230	affirmativ	4	A	4	4
1231	affirmieren	0	V	3	4
1232	aeffisch	1	A	1	2
1240	afghanisch	2	A	2	3
1247	afrikanisch	173	A	3	4
1248	Afrikanist	0	N	4	4
1249	Afrikanistik	0	N	4	5
1251	After	1	N	1	2
1252	Afterleder	0	N	1	4
1253	Aftermiete	0	N	1	4
1254	Aftermieter	0	N	1	4
1256	Agape	0	N	2	3
1257	Agave	6	N	2	3
1259	Agende	0	N	2	3
1262	Agentie	0	N	3	3
1263	agentieren	0	V	3	4
1264	Agentin	2	N	2	3
1265	Agentur	101	N	3	3
1266	Agglomerat	0	N	4	4
1268	agglomerieren	0	V	4	5
1270	agglutinieren	0	V	4	5
1271	Aggregat	36	N	3	3
1272	Aggregation	0	N	5	5
1273	Aggregatzustand	3	N	3	5
1275	aggressiv	220	A	3	3
1276	Aggressivitaet	24	N	5	5
1277	Aggressor	62	N	2	3
1279	agieren	19	V	2	3
1280	agil	6	A	2	2
1281	Agilitaet	0	N	4	4
1282	Agio	2	N	1	3
1283	Agiotage	0	N	4	5
1284	Agioteur	0	N	4	4
1285	agiotieren	0	V	4	5
1286	Agitation	22	N	5	5
1287	Agitator	19	N	3	4
1288	agitatorisch	5	A	4	5
1289	agitieren	7	V	3	4
1290	Agnat	0	N	2	2
1291	agnatisch	0	A	2	3
1293	Agnostiker	1	N	2	4
1294	Agnostizismus	0	N	4	5
1295	agnoszieren	0	V	3	4
1297	Agora	0	N	3	3
1298	Agoraphobie	0	N	5	5
1301	Agrarier	1	N	2	4
1302	agrarisch	10	A	2	3
1303	Agrarpolitik	27	N	5	5
1304	Agrarreform	11	N	4	4
1305	Agrarwissenschaft	1	N	3	5
1306	Agreement	1	N	2	3
1308	Agrikultur	1	N	4	4
1310	Agronomie	1	N	4	4
1311	agronomisch	0	A	3	4
1312	Agrotechnik	1	N	3	4
1314	aegyptisch	159	A	2	3
1315	Aegyptologie	0	N	5	5
1316	aegyptologisch	0	A	4	5
1320	ahistorisch	1	A	1	4
1321	Ahle	5	N	1	2
1322	ahmen	7	V	1	2
1324	Ahming	0	N	1	2
1325	ahnen	191	V	1	2
1327	ahnden	16	V	1	2
1328	Ahndung	2	N	1	2
1329	Ahne	7	N	1	2
1330	Ahne	7	N	1	2
1331	aehneln	39	V	1	2
1332	Ahnenbild	1	N	1	3
1333	Ahnengalerie	1	N	1	5
1334	Ahnenkult	0	N	1	3
1335	Ahnenreihe	0	N	1	4
1336	Ahnentafel	1	N	1	4
1337	Ahnfrau	0	N	1	2
1338	Ahnherr	2	N	1	2
1339	aehnlich	722	A	1	2
1341	Aehnlichkeit	51	N	1	3
1342	Ahnung	131	N	1	2
1343	ahnungslos	52	A	1	3
1344	Ahnungslosigkeit	5	N	1	5
1345	ahnungsvoll	2	A	1	3
1347	Ahorn	3	N	1	2
1348	Aehre	15	N	1	2
1349	Aehrenlese	0	N	1	4
1350	Ai	2	N	1	2
1357	Akademiker	31	N	3	5
1359	akademisch	100	A	3	4
1364	akatalektisch	0	A	4	5
1365	Akatholik	0	N	1	4
1366	akatholisch	0	A	1	4
1367	Akazie	2	N	2	4
1368	Akelei	0	N	3	3
1370	Akklamation	5	N	5	5
1371	akklamieren	0	V	3	4
1376	akkomodabel	0	A	4	5
1377	akkomodieren	0	V	4	5
1378	Akkompagnement	0	N	5	5
1379	akkompagnieren	0	V	4	5
1381	Akkordarbeit	2	N	2	4
1382	Akkordarbeiter	2	N	2	5
1383	Akkordeon	1	N	2	4
1384	akkordieren	1	V	3	4
1385	akkreditieren	20	V	4	5
1386	Akkreditiv	2	N	4	4
1388	akkulturieren	1	V	4	5
1389	Akkumulat	0	N	4	4
1391	Akkumulator	4	N	4	5
1392	akkumulieren	1	V	4	5
1395	Akkuratesse	2	N	4	5
1398	Akme	0	N	2	2
1399	Akne	0	N	1	2
1401	Akontozahlung	0	N	2	5
1402	akquirieren	0	V	3	4
1403	Akquisiteur	3	N	4	4
1404	Akquisition	2	N	5	5
1405	Akquisitor	0	N	3	4
1406	akquisitorisch	1	A	4	5
1407	Akribie	5	N	3	3
1408	akribisch	3	A	2	3
1410	Akrobatik	2	N	3	4
1411	Akrobatin	0	N	3	4
1412	akrobatisch	10	A	3	4
1420	Akrozephale	0	N	4	5
1421	Akrozephalie	0	N	5	5
1423	Aktei	0	N	2	2
1424	aktenkundig	7	A	1	4
1425	Aktenschrank	6	N	1	3
1426	Aktentasche	33	N	1	4
1427	Aktenzeichen	14	N	1	4
1429	Aktie	502	N	1	3
1432	Aktienkurs	31	N	1	4
1434	aktinisch	0	A	2	3
1435	Aktinometer	0	N	4	5
1436	Aktion	497	N	3	3
1437	Aktionaer	267	N	4	4
1439	Aktionismus	0	N	4	5
1440	aktionistisch	0	A	4	5
1441	Aktionsart	1	N	3	4
1442	Aktionsprogramm	28	N	3	5
1444	aktiv	494	A	2	2
1445	Aktiv	64	N	2	2
1446	Aktivbuerger	0	N	2	4
1447	Aktivforderung	0	N	2	5
1448	aktivieren	38	V	3	4
1449	Aktivierung	20	N	3	4
1450	aktivisch	1	A	2	3
1451	Aktivismus	1	N	3	4
1452	Aktivist	144	N	3	3
1454	aktivistisch	1	A	3	4
1456	Aktivitaet	226	N	4	4
1457	Aktivkohle	1	N	2	4
1458	Aktivsaldo	4	N	2	4
1459	Aktivvermoegen	0	N	2	5
1462	Aktualitaet	25	N	5	5
1467	akupunktieren	0	V	4	5
1468	Akupunktur	1	N	4	4
1470	Akustik	5	N	2	3
1471	akustisch	29	A	2	3
1472	akut	57	A	2	2
1475	Akzelerator	0	N	4	5
1476	akzelerieren	1	V	4	5
1477	Akzent	68	N	2	2
1479	akzentuieren	20	V	4	5
1480	Akzentuierung	3	N	4	5
1482	akzeptabel	21	A	3	4
1483	Akzeptant	0	N	3	3
1484	Akzeptation	0	N	5	5
1485	akzeptieren	123	V	3	4
1486	Akzeptor	1	N	2	3
1488	Akzession	0	N	4	4
1490	akzessorisch	0	A	3	4
1492	akzidentell	0	A	4	4
1493	akzidentiell	1	A	5	5
1495	Akzidenzdruck	0	N	3	4
1496	Akzidenzsetzer	0	N	3	5
1499	Alarm	33	N	2	2
1500	Alarmanlage	6	N	2	5
1501	alarmbereit	0	A	2	4
1502	Alarmbereitschaft	11	N	2	5
1503	Alarmgeraet	1	N	2	4
1504	alarmieren	82	V	3	4
1505	Alarmsignal	6	N	2	4
1506	Alaun	1	N	2	2
1507	alaunisieren	0	V	4	5
1508	Alaunstein	0	N	2	3
1512	albanisch	15	A	2	3
1513	Albatros	1	N	1	3
1514	Albe	0	N	1	2
1515	albern	10	V	1	2
1516	Alberei	0	N	3	3
1517	albern	22	A	1	2
1518	Albernheit	8	N	1	3
1520	Albinismus	0	N	3	4
1521	Albino	4	N	2	3
1522	albinotisch	0	A	3	4
1523	Album	7	N	1	2
1524	Albumen	0	N	2	3
1525	Albumin	0	N	3	3
1526	albuminoes	0	A	4	4
1527	Albuminurie	0	N	5	5
1528	alcaeisch	0	A	2	3
1529	Alchemie	0	N	3	3
1530	Aelchen	0	N	1	2
1531	Alchimie	2	N	3	3
1532	alchimistisch	0	A	3	4
1537	alemannisch	86	A	3	4
1542	alfanzen	0	V	2	3
1543	Alfanzerei	0	N	4	4
1544	Alge	7	N	1	2
1545	Algebra	1	N	1	3
1546	algebraisch	0	A	3	4
1548	Algerier	7	N	2	4
1549	algerisch	51	A	2	3
1551	Algologe	0	N	3	4
1552	Algologie	0	N	4	4
1555	algorithmisch	0	A	3	4
1562	alienieren	0	V	4	5
1563	Alignement	0	N	4	4
1564	alignieren	0	V	3	4
1566	alimentieren	0	V	4	5
1568	alineieren	0	V	4	5
1569	aliphatisch	0	A	3	4
1574	alkaeisch	2	A	2	3
1575	Alkalde	0	N	2	3
1576	Alkali	0	N	2	3
1577	alkalisch	8	A	2	3
1578	Alkazar	0	N	2	3
1581	alkoholarm	0	A	1	4
1582	alkoholfrei	19	A	3	4
1583	Alkoholiker	5	N	3	5
1585	alkoholisch	7	A	3	4
1588	Alkoholismus	0	N	4	5
1589	Alkoholspiegel	2	N	1	5
1590	Alkoholverbot	0	N	1	5
1591	Alkor	0	N	2	2
1593	Alkyl	0	N	2	2
1594	alkylieren	0	V	3	4
1595	Alkyone	0	N	3	4
1599	allabendlich	16	A	2	4
1601	Allasch	0	N	1	2
1602	allbekannt	1	A	3	3
1607	allebendig	0	A	1	4
1609	Allegorie	4	N	4	4
1610	allegorisch	10	A	3	4
1613	Allegretto	1	N	3	4
1615	allein	606	A	2	2
1618	Alleinflug	1	N	2	3
1619	Alleingang	29	N	2	3
1620	Alleingaenger	3	N	2	4
1621	Alleinheit	0	N	2	3
1622	Alleinherrschaft	8	N	2	4
1623	Alleinherrscher	7	N	2	4
1624	alleinig	47	A	2	3
1625	Alleinmaedchen	0	N	2	4
1626	Alleinsein	8	N	2	3
1628	alleinstehen	4	V	2	4
1629	alleinstehend	20	A	2	4
1631	Alleinvertrieb	2	N	2	4
1632	Allel	0	N	2	2
1638	allerallerletzt	0	A	1	5
1640	Allerbarmer	0	N	1	4
1641	allerbest	28	A	1	3
1642	allerchristlichst	0	A	1	4
1644	allerdurchlauchtigst	0	A	1	5
1646	allererst	28	A	1	3
1648	Allergie	1	N	3	3
1649	Allergiker	0	N	2	4
1650	allergisch	5	A	2	3
1652	Allerheiligen	5	N	1	5
1653	allerheiligst	1	A	1	4
1654	allerhoechst	14	A	1	3
1657	Allerlei	17	N	1	3
1658	allerletzt	22	A	1	3
1659	allerliebst	0	A	1	3
1660	Allermann	0	N	1	3
1661	Allermannsharnisch	0	N	1	5
1664	allernaechst	8	A	1	3
1665	allerneuest	2	A	1	4
1668	Allerseelen	0	N	1	4
1676	Allerweltswort	0	N	1	4
1677	allerwenigst	5	A	1	4
1678	Allerwerteste	1	N	3	5
1681	Allesfresser	0	N	1	4
1682	Alleskleber	1	N	1	4
1687	allfaellig	2	A	1	3
1690	Allgegenwart	4	N	2	4
1691	allgegenwaertig	5	A	1	5
1693	allgemein	1388	A	1	3
1695	allgemeinbildend	23	A	1	5
1696	Allgemeinbildung	28	N	1	5
1697	allgemeingueltig	28	A	1	5
1698	Allgemeingut	6	N	1	4
1699	Allgemeinheit	70	N	1	4
1701	Allgemeinwohl	0	N	1	4
1702	Allgewalt	1	N	1	3
1703	allgewaltig	2	A	1	4
1704	allgueltig	1	A	2	3
1705	Allheilmittel	8	N	1	4
1706	Allheit	0	N	1	2
1708	alliebend	0	A	2	3
1709	Alligator	2	N	3	4
1710	alliieren	66	V	3	4
1711	Alliierte	86	N	3	4
1713	alliterieren	0	V	4	5
1714	alljaehrlich	75	A	1	3
1715	Allmacht	8	N	1	2
1716	allmaechtig	9	A	2	3
1717	Allmaechtige	6	N	2	4
1718	allmaehlich	223	A	2	3
1719	Allmend	0	N	2	2
1720	Allmende	0	N	2	3
1721	allmonatlich	4	A	1	4
1722	Allmutter	0	N	2	3
1723	allnaechtlich	3	A	1	3
1724	Allod	0	N	2	2
1725	allodial	0	A	4	4
1727	Allogamie	0	N	4	4
1733	Allopathie	0	N	4	4
1734	allopathisch	1	A	3	4
1736	Allradantrieb	1	N	1	4
1739	allseitig	146	A	1	3
1740	Allseitigkeit	3	N	1	4
1742	Allstrom	0	N	1	2
1743	Allstromgeraet	0	N	1	4
1744	allstuendlich	0	A	1	3
1745	Alltag	116	N	1	2
1746	alltaeglich	59	A	1	3
1747	Alltaeglichkeit	1	N	1	4
1749	Alltagssprache	27	N	1	4
1751	allumfassend	6	A	1	4
1753	alluvial	0	A	4	4
1754	Alluvion	0	N	4	4
1756	Allvater	0	N	1	3
1757	allverehrt	0	A	1	3
1759	allwissend	5	A	1	3
1760	Allwissenheit	2	N	1	4
1761	allwoechentlich	6	A	1	4
1768	Almanach	7	N	1	3
1769	Almandin	6	N	3	3
1770	Almenrausch	1	N	1	3
1771	Almosen	5	N	1	3
1772	Almosenier	0	N	4	4
1773	Almrausch	6	N	1	2
1774	Aloe	0	N	1	3
1775	alogisch	0	A	1	3
1779	Alpdruck	8	N	1	2
1780	Alpenjaeger	7	N	1	4
1781	Alpenveilchen	3	N	1	4
1782	Alpenvorland	3	N	3	4
1783	Alpha	57	N	1	2
1785	alphabetisch	8	A	3	4
1788	Alphorn	0	N	1	2
1789	alpin	23	A	2	2
1790	Alpinismus	0	N	3	4
1791	Alpinist	5	N	3	3
1792	Alpinistik	0	N	3	4
1793	Aelpler	0	N	1	2
1794	aelplerisch	0	A	1	3
1795	Alptraum	16	N	1	2
1796	Alraun	0	N	2	2
1805	Altammann	0	N	1	3
1806	Altan	1	N	2	2
1807	Altar	48	N	2	2
1808	Altarbild	1	N	2	3
1809	Altarist	0	N	3	3
1810	Altarsakrament	0	N	2	5
1811	altbacken	0	A	1	3
1812	Altbau	13	N	1	2
1813	Altbauwohnung	7	N	1	4
1814	altbekannt	12	A	1	3
1815	altbewaehrt	12	A	1	3
1817	altdeutsch	6	A	1	2
1818	Alte	376	N	1	2
1819	altehrwuerdig	7	A	2	4
1820	alteingesessen	19	A	1	5
1821	Alteisen	2	N	1	3
1823	altenglisch	2	A	1	3
1824	Altenheim	3	N	1	3
1825	Altenhilfe	2	N	1	4
1826	Altenteil	2	N	1	3
1827	altern	6	V	1	2
1828	Alter	314	N	1	2
1829	Alteration	0	N	5	5
1830	Alterchen	1	N	1	3
1831	alterieren	0	V	3	4
1832	Alternanz	0	N	3	3
1833	alternativ	17	A	4	4
1834	Alternative	175	N	4	5
1835	alternieren	1	V	3	4
1837	alterprobt	0	A	1	3
1839	altersabhaengig	0	A	1	5
1840	altersentsprechend	1	A	1	5
1841	Altersgrenze	52	N	1	4
1842	Altersgruppe	11	N	1	4
1843	Altersheim	29	N	1	3
1844	Altersjahr	1	N	1	3
1846	Altersruhegeld	19	N	1	5
1847	altersschwach	3	A	1	3
1848	Altersschwaeche	1	N	1	4
1849	Alterssichtigkeit	0	N	1	5
1851	Altersversorgung	36	N	1	5
1852	Alterswerk	3	N	1	3
1853	Altertum	35	N	1	3
1854	Altertuemer	9	N	1	4
1855	altertuemeln	0	V	1	4
1856	Altertuemelei	0	N	5	5
1857	altertuemlich	14	A	1	4
1858	Altertuemlichkeit	0	N	1	5
1859	Altertumsforscher	3	N	1	5
1860	Altertumskunde	0	N	1	5
1861	Alterung	4	N	1	3
1862	Aelteste	16	N	1	3
1863	Aeltestenrat	14	N	1	4
1864	Aeltestenrecht	0	N	1	4
1865	altfraenkisch	6	A	2	3
1866	altgedient	1	A	1	3
1867	Altgeige	0	N	1	3
1868	Altgeselle	1	N	1	4
1869	altgewohnt	3	A	1	3
1870	altgriechisch	1	A	1	3
1871	Althaendler	0	N	2	3
1872	althergebracht	8	A	2	4
1873	altherkoemmlich	0	A	2	4
1874	Altherrenschaft	2	N	2	4
1875	althochdeutsch	5	A	1	3
1876	Altist	0	N	2	2
1877	Altjahrabend	0	N	1	4
1878	Altjahrsabend	0	N	1	4
1879	Altjahrstag	0	N	1	3
1880	altjuengferlich	1	A	2	4
1881	Altkanzler	3	N	1	3
1882	Altkatholik	0	N	1	4
1883	altkatholisch	0	A	1	4
1885	altklug	3	A	1	2
1886	aeltlich	9	A	1	2
1887	Altmaterial	0	N	1	5
1888	Altmeister	13	N	1	3
1889	Altmetall	0	N	1	3
1890	altmodisch	37	A	1	3
1891	altnordisch	0	A	1	3
1893	Altpapier	5	N	1	3
1894	Altphilologe	1	N	1	5
1895	Altruismus	0	N	3	4
1896	Altruist	0	N	3	3
1897	altruistisch	0	A	3	4
1898	Altsitz	0	N	2	2
1899	altsprachlich	0	A	1	3
1900	Altstadt	40	N	1	2
1901	Altstadtsanierung	0	N	1	5
1902	Altsteinzeit	9	N	1	3
1903	Altstimme	3	N	1	3
1905	Alttestamentler	0	N	1	5
1906	alttestamentlich	0	A	1	5
1907	Alttier	0	N	1	2
1908	altueberliefert	2	A	1	5
1909	altvaeterisch	4	A	1	4
1910	altvaeterlich	6	A	1	4
1911	altvertraut	3	A	1	3
1912	Altware	0	N	1	3
1913	Altwarenhaendler	1	N	1	5
1914	Altwasser	1	N	1	3
1915	Altweiberfastnacht	0	N	2	5
1916	Altweibergeschwaetz	0	N	2	5
1917	Altweibersommer	4	N	2	5
1918	altwienerisch	0	A	2	4
1920	aluminieren	0	V	4	5
1925	Alumnat	0	N	3	3
1926	Alumne	0	N	2	3
1928	Alveolar	0	N	4	4
1933	amalgamieren	0	V	4	5
1934	amarant	0	A	3	3
1935	Amarant	0	N	3	3
1936	amaranten	0	A	3	4
1937	amarantrot	0	A	3	4
1940	Amaryllis	2	N	3	4
1943	Amazonenstrom	0	N	3	5
1945	Ambe	0	N	1	2
1946	Amber	0	N	1	2
1947	ambigue	0	A	3	3
1948	Ambiguitaet	1	N	5	5
1949	Ambition	28	N	4	4
1951	ambitioniert	0	A	5	5
1953	ambivalent	4	A	4	4
1954	Ambivalenz	2	N	4	4
1955	Amboss	3	N	1	2
1956	Ambossklotz	0	N	1	3
1961	ambulant	9	A	3	3
1962	Ambulanz	4	N	3	3
1963	ambulatorisch	0	A	4	5
1964	Ameise	28	N	1	3
1965	Ameisenhaufen	6	N	1	5
1966	Ameisensaeure	0	N	1	5
1970	Amen	16	N	1	2
1971	Amendement	0	N	4	4
1972	amendieren	0	V	3	4
1977	Amerikaner	669	N	4	5
1983	Amerikanist	0	N	5	5
1987	ametrisch	0	A	2	3
1992	Amid	0	N	2	2
1993	Amin	0	N	2	2
1994	Aminosaeure	10	N	2	5
1996	Ammann	15	N	1	2
1997	Amme	2	N	1	2
1998	Ammenmaerchen	2	N	1	4
1999	Ammer	1	N	1	2
2003	Ammonshorn	0	N	1	3
2006	amnestieren	2	V	3	4
2007	Amoebe	1	N	2	3
2008	amoeboid	0	A	4	4
2009	Amok	2	N	1	2
2010	Amoklaufen	0	N	1	4
2011	Amoklaeufer	0	N	1	4
2013	amoralisch	3	A	1	4
2014	Amoralismus	0	N	4	5
2015	Amoralitaet	0	N	5	5
2019	amortisabel	0	A	4	5
2021	amortisieren	10	V	4	5
2023	Ampel	14	N	1	2
2025	Amperemeter	0	N	3	4
2026	Amperestunde	1	N	2	4
2027	Ampfer	0	N	1	2
2029	amphibisch	1	A	2	3
2030	Amphibium	4	N	2	4
2032	amphibolisch	0	A	3	4
2042	amplifizieren	0	V	4	5
2044	Ampulle	4	N	2	3
2045	Amputation	3	N	5	5
2046	amputieren	5	V	3	4
2047	Amsel	7	N	1	2
2048	amten	0	V	1	2
2050	Aemtchen	0	N	1	2
2051	amtieren	15	V	2	3
2052	amtlich	292	A	1	2
2053	Amtmann	3	N	1	2
2054	Amtsenthebung	6	N	1	4
2055	Amtsgeheimnis	0	N	1	4
2056	Amtsgericht	49	N	1	3
2057	Amtsgerichtsrat	14	N	1	4
2059	amtshandeln	0	V	1	3
2060	Amtshandlung	13	N	1	3
2061	Amtshilfe	6	N	1	3
2062	Amtsmiene	1	N	1	3
2063	amtsmuede	2	A	1	3
2064	Amtsperson	6	N	1	3
2065	Amtsrichter	13	N	1	3
2066	Amtsschimmel	2	N	1	3
2067	Amtsstunde	0	N	1	3
2068	Amtsweg	0	N	1	2
2069	Amtszeit	45	N	1	2
2070	Amulett	9	N	3	3
2071	amuesant	38	A	3	3
2072	Amuesement	5	N	4	4
2073	amuesieren	33	V	3	4
2074	amusisch	1	A	1	3
2082	Anachronismus	3	N	4	5
2083	anachronistisch	9	A	4	5
2089	anakoluthisch	0	A	4	5
2091	anakreontisch	0	A	4	5
2092	anal	0	A	1	2
2093	Analeptikum	0	N	3	5
2094	analeptisch	0	A	3	4
2096	Analgetikum	0	N	3	5
2098	Analogie	19	N	4	4
2100	Analogon	2	N	2	4
2101	Analogrechner	0	N	3	5
2102	Analphabet	9	N	4	4
2104	Analyse	148	N	3	4
2105	analysieren	72	V	4	5
2106	Analysis	0	N	2	4
2107	Analytik	1	N	3	4
2108	Analytiker	5	N	3	5
2109	analytisch	34	A	3	4
2110	Anaemie	2	N	3	3
